participant_id	X3rd_Ventricle	X4th_Ventricle	X5th_Ventricle	Brain_Stem	BrainSeg	BrainSegVol	BrainSegVol_to_eTIV	BrainSegVolNotVent	BrainSegVolNotVentSurf	CC_Anterior	CC_Central	CC_Mid_Anterior	CC_Mid_Posterior	CC_Posterior	CortexVol	CorticalWhiteMatterVol	CSF	EstimatedTotalIntraCranialVol	Laccumb	Lamyg	Lcaud	Left_Cerebellum_Cortex	Left_Cerebellum_White_Matter	Left_choroid_plexus	Left_Inf_Lat_Vent	Left_Lateral_Ventricle	Left_non_WM_hypointensities	Left_VentralDC	Left_vessel	Left_WM_hypointensities	lhCortexVol	lhCorticalWhiteMatterVol	Lhippo	lhSurfaceHoles	Lpal	Lput	LSurfArea	Lthal	LThickness	MaskVol	MaskVol_to_eTIV	non_WM_hypointensities	Optic_Chiasm	Raccumb	Ramyg	Rcaud	rhCortexVol	rhCorticalWhiteMatterVol	Rhippo	rhSurfaceHoles	Right_Cerebellum_Cortex	Right_Cerebellum_White_Matter	Right_choroid_plexus	Right_Inf_Lat_Vent	Right_Lateral_Ventricle	Right_non_WM_hypointensities	Right_VentralDC	Right_vessel	Right_WM_hypointensities	Rpal	Rput	RSurfArea	Rthal	RThickness	SubCortGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	SupraTentorialVolNotVentVox	SurfaceHoles	TotalGrayVol	WM_hypointensities	L_bankssts_surfarea	L_bankssts_thickavg	L_caudalanteriorcingulate_surfarea	L_caudalanteriorcingulate_thickavg	L_caudalmiddlefrontal_surfarea	L_caudalmiddlefrontal_thickavg	L_cuneus_surfarea	L_cuneus_thickavg	L_entorhinal_surfarea	L_entorhinal_thickavg	L_frontalpole_surfarea	L_frontalpole_thickavg	L_fusiform_surfarea	L_fusiform_thickavg	L_inferiorparietal_surfarea	L_inferiorparietal_thickavg	L_inferiortemporal_surfarea	L_inferiortemporal_thickavg	L_insula_surfarea	L_insula_thickavg	L_isthmuscingulate_surfarea	L_isthmuscingulate_thickavg	L_lateraloccipital_surfarea	L_lateraloccipital_thickavg	L_lateralorbitofrontal_surfarea	L_lateralorbitofrontal_thickavg	L_lingual_surfarea	L_lingual_thickavg	L_medialorbitofrontal_surfarea	L_medialorbitofrontal_thickavg	L_middletemporal_surfarea	L_middletemporal_thickavg	L_paracentral_surfarea	L_paracentral_thickavg	L_parahippocampal_surfarea	L_parahippocampal_thickavg	L_parsopercularis_surfarea	L_parsopercularis_thickavg	L_parsorbitalis_surfarea	L_parsorbitalis_thickavg	L_parstriangularis_surfarea	L_parstriangularis_thickavg	L_pericalcarine_surfarea	L_pericalcarine_thickavg	L_postcentral_surfarea	L_postcentral_thickavg	L_posteriorcingulate_surfarea	L_posteriorcingulate_thickavg	L_precentral_surfarea	L_precentral_thickavg	L_precuneus_surfarea	L_precuneus_thickavg	L_rostralanteriorcingulate_surfarea	L_rostralanteriorcingulate_thickavg	L_rostralmiddlefrontal_surfarea	L_rostralmiddlefrontal_thickavg	L_superiorfrontal_surfarea	L_superiorfrontal_thickavg	L_superiorparietal_surfarea	L_superiorparietal_thickavg	L_superiortemporal_surfarea	L_superiortemporal_thickavg	L_supramarginal_surfarea	L_supramarginal_thickavg	L_temporalpole_surfarea	L_temporalpole_thickavg	L_transversetemporal_surfarea	L_transversetemporal_thickavg	R_bankssts_surfarea	R_bankssts_thickavg	R_caudalanteriorcingulate_surfarea	R_caudalanteriorcingulate_thickavg	R_caudalmiddlefrontal_surfarea	R_caudalmiddlefrontal_thickavg	R_cuneus_surfarea	R_cuneus_thickavg	R_entorhinal_surfarea	R_entorhinal_thickavg	R_frontalpole_surfarea	R_frontalpole_thickavg	R_fusiform_surfarea	R_fusiform_thickavg	R_inferiorparietal_surfarea	R_inferiorparietal_thickavg	R_inferiortemporal_surfarea	R_inferiortemporal_thickavg	R_insula_surfarea	R_insula_thickavg	R_isthmuscingulate_surfarea	R_isthmuscingulate_thickavg	R_lateraloccipital_surfarea	R_lateraloccipital_thickavg	R_lateralorbitofrontal_surfarea	R_lateralorbitofrontal_thickavg	R_lingual_surfarea	R_lingual_thickavg	R_medialorbitofrontal_surfarea	R_medialorbitofrontal_thickavg	R_middletemporal_surfarea	R_middletemporal_thickavg	R_paracentral_surfarea	R_paracentral_thickavg	R_parahippocampal_surfarea	R_parahippocampal_thickavg	R_parsopercularis_surfarea	R_parsopercularis_thickavg	R_parsorbitalis_surfarea	R_parsorbitalis_thickavg	R_parstriangularis_surfarea	R_parstriangularis_thickavg	R_pericalcarine_surfarea	R_pericalcarine_thickavg	R_postcentral_surfarea	R_postcentral_thickavg	R_posteriorcingulate_surfarea	R_posteriorcingulate_thickavg	R_precentral_surfarea	R_precentral_thickavg	R_precuneus_surfarea	R_precuneus_thickavg	R_rostralanteriorcingulate_surfarea	R_rostralanteriorcingulate_thickavg	R_rostralmiddlefrontal_surfarea	R_rostralmiddlefrontal_thickavg	R_superiorfrontal_surfarea	R_superiorfrontal_thickavg	R_superiorparietal_surfarea	R_superiorparietal_thickavg	R_superiortemporal_surfarea	R_superiortemporal_thickavg	R_supramarginal_surfarea	R_supramarginal_thickavg	R_temporalpole_surfarea	R_temporalpole_thickavg	R_transversetemporal_surfarea	R_transversetemporal_thickavg	L_bankssts_gmvol	L_caudalanteriorcingulate_gmvol	L_caudalmiddlefrontal_gmvol	L_cuneus_gmvol	L_entorhinal_gmvol	L_frontalpole_gmvol	L_fusiform_gmvol	L_inferiorparietal_gmvol	L_inferiortemporal_gmvol	L_insula_gmvol	L_isthmuscingulate_gmvol	L_lateraloccipital_gmvol	L_lateralorbitofrontal_gmvol	L_lingual_gmvol	L_medialorbitofrontal_gmvol	L_middletemporal_gmvol	L_paracentral_gmvol	L_parahippocampal_gmvol	L_parsopercularis_gmvol	L_parsorbitalis_gmvol	L_parstriangularis_gmvol	L_pericalcarine_gmvol	L_postcentral_gmvol	L_posteriorcingulate_gmvol	L_precentral_gmvol	L_precuneus_gmvol	L_rostralanteriorcingulate_gmvol	L_rostralmiddlefrontal_gmvol	L_superiorfrontal_gmvol	L_superiorparietal_gmvol	L_superiortemporal_gmvol	L_supramarginal_gmvol	L_temporalpole_gmvol	L_transversetemporal_gmvol	R_bankssts_gmvol	R_caudalanteriorcingulate_gmvol	R_caudalmiddlefrontal_gmvol	R_cuneus_gmvol	R_entorhinal_gmvol	R_frontalpole_gmvol	R_fusiform_gmvol	R_inferiorparietal_gmvol	R_inferiortemporal_gmvol	R_insula_gmvol	R_isthmuscingulate_gmvol	R_lateraloccipital_gmvol	R_lateralorbitofrontal_gmvol	R_lingual_gmvol	R_medialorbitofrontal_gmvol	R_middletemporal_gmvol	R_paracentral_gmvol	R_parahippocampal_gmvol	R_parsopercularis_gmvol	R_parsorbitalis_gmvol	R_parstriangularis_gmvol	R_pericalcarine_gmvol	R_postcentral_gmvol	R_posteriorcingulate_gmvol	R_precentral_gmvol	R_precuneus_gmvol	R_rostralanteriorcingulate_gmvol	R_rostralmiddlefrontal_gmvol	R_superiorfrontal_gmvol	R_superiorparietal_gmvol	R_superiortemporal_gmvol	R_supramarginal_gmvol	R_temporalpole_gmvol	R_transversetemporal_gmvol	AvgThickness	TSurfArea
sub-0398	571.9	1761.9	0	17874.1	1015480	1015477	0.768319	998134	999339.9023	1079.3	525.9	553.6	536.2	1011.2	418864.8964	402957.0059	857	1321687.035	656.9	1518.4	3903.3	44904.4	15439.7	1093.5	249.3	5650.1	0	3737.7	16.4	0	205695.2621	197529.2515	3820.2	46	1543.7	5733.9	71989.8	6962.1	2.57577	1442594	1.091479	18	43.1	726.6	1770.9	3956.7	213169.6344	205427.7544	3893.9	46	47028	14277.6	1513	115.4	5997.9	0	3578.1	68.3	0	1508.5	5088.4	73874.9	6604.4	2.59954	57041	894877.9023	880538.9023	877633	92	567558.8964	664.5	883	2.459	457	2.866	2066	2.85	1429	1.97	327	2.417	199	2.565	2753	2.491	4107	2.581	2729	2.344	1704	3.17	887	2.619	4566	2.071	1867	2.694	3106	2.295	n/a	n/a	2309	2.552	1055	2.704	530	2.744	1588	2.849	493	2.806	1083	2.93	1554	1.73	3452	2.179	965	2.659	3841	2.721	3383	2.43	588	3.472	4966	2.701	5801	3.221	4190	2.275	2924	2.866	3412	2.645	383	3.299	399	2.189	810	2.638	543	3.024	1880	2.812	1388	2.077	369	2.991	253	2.495	2883	2.689	5302	2.706	2501	2.66	1816	2.927	868	2.404	3874	2.48	2257	2.552	3096	2.193	1841	2.636	3039	2.726	1179	2.635	798	2.425	1127	3.025	747	2.589	1125	2.796	1624	1.839	3247	2.079	915	2.461	3883	2.746	3556	2.421	613	3.14	5263	2.523	5577	3.103	4764	2.184	3275	3.043	2885	2.636	354	3.567	224	2.367	2199	1160	6598	3064	1148	693	7612	12231	7422	5611	2486	10868	5091	7876	n/a	7531	2972	1616	5349	1976	3715	2584	8574	2729	11384	8551	2167	15547	20744	10837	9944	9938	1954	1019	1957	1843	5981	3256	1488	941	8667	16054	7954	5269	2236	10941	5888	7559	5612	10040	3230	2210	3913	2466	3526	2853	7469	2306	11485	9187	2137	15418	19733	11760	11633	8284	1865	610	n/a	n/a
sub-0402	891.3	1896.7	0	23500.5	1239110	1239114	0.766699	1223260	1223733.49	917.8	445.8	546.6	463.6	922.6	501537.5932	526939.8966	1186.8	1616167.55	723.5	1909	4453.7	48755	14154.4	1427.9	123.2	5929.8	0	4072.7	100.6	0	257853.5864	264706.6777	4047.9	96	1735.2	6496.5	98099.6	9999.5	2.39498	1717977	1.062994	11.8	66.2	743.8	1937	4605.5	243684.0068	262233.2189	4768.5	110	51829	13554	1321.3	143	3496.8	0	4152	175.1	0	1782.7	5901.7	95931.4	8885	2.32465	68325	1111085.49	1098944.49	1096488	206	669922.5932	1301	1216	2.536	713	2.84	2579	2.883	1682	1.666	465	2.563	262	2.193	3697	2.358	4949	2.407	4017	2.245	2311	3.102	902	2.669	5044	1.953	2856	2.332	3799	2.068	2245	2.101	3663	2.741	1657	2.313	804	2.197	1940	2.84	757	2.715	1447	2.547	1751	1.483	4352	2.038	1111	2.711	6178	2.472	4795	2.295	1093	2.894	6882	2.376	7514	2.833	6199	2.013	4723	2.622	5425	2.532	470	2.882	603	2.009	899	2.525	1002	2.575	2131	2.593	1778	1.679	335	2.571	352	2.314	3728	2.431	6192	2.526	3355	2.051	2592	2.732	1062	2.601	5319	2.022	2768	2.357	3703	1.894	2223	2.066	3846	2.436	1615	2.208	765	2.536	1629	2.584	686	2.344	1962	2.435	1885	1.526	4206	2.063	1484	2.58	5597	2.358	4655	2.362	903	2.771	6104	2.147	8243	2.651	6069	2.07	3951	2.659	3927	2.605	512	2.545	452	2.079	3000	2055	8351	2917	1625	805	9398	13282	10526	7057	2544	11101	7542	8631	5588	13191	3996	2032	6297	2735	4029	2451	9533	3272	15882	11741	3576	19159	24268	12839	13895	14973	1903	1291	2326	2918	6090	3138	1139	1176	9974	17087	7591	7237	2932	11270	7441	7409	5345	11718	3424	2259	4841	2194	5738	2517	9307	4014	14010	11206	2924	15682	24906	13123	12114	11356	1642	1089	n/a	n/a
sub-0408	691	1084.6	0	19396.5	1119260	1119264	0.816291	1102397	1102320.116	1019.6	335.7	477.6	398.3	918	481301.8477	432070.2679	929.8	1371158.387	511.7	1545.6	4114.3	47301.5	16356.6	1122.2	217.3	7322.2	0	4014	60.6	0	240724.5233	212634.2625	4124.7	45	1931.9	5522.4	79558	8670.8	2.62699	1552865	1.132521	9.6	195.1	691.8	1555	3989.1	240577.3244	219436.0054	4267.1	40	49230.4	16934.7	1396.9	126.1	4653.2	0	3868.3	43.7	0	1456.6	5268.5	81403.7	7816	2.60381	61119	991022.1156	976590.1156	974440	85	638010.8477	816.3	771	2.72	704	3.291	1924	2.582	1372	1.973	314	3.5	165	2.71	2844	2.542	4212	2.588	3083	2.601	1982	3.1	818	3.056	4802	2.293	2356	2.804	2517	1.867	1929	2.28	2526	3.109	1477	2.707	637	3.009	1915	2.949	658	3.029	1424	2.48	1315	1.663	3896	2.325	1147	2.973	4429	2.642	3704	2.724	798	3.255	5848	2.317	6666	2.952	5746	2.317	3430	3.185	3326	2.921	425	4.004	399	2.445	829	2.851	900	3.136	1818	2.682	1565	1.906	387	3.072	268	2.637	3377	2.719	5453	2.57	3018	2.493	1965	3.345	756	2.738	4287	2.445	2234	2.682	2929	2.054	1642	2.353	2539	3.29	1619	2.547	663	3.205	1673	3.003	798	2.709	1622	2.637	1527	1.76	3894	2.117	1285	2.805	4988	2.542	3758	2.688	836	2.746	5194	2.312	6238	2.808	5547	2.309	3342	3.133	3688	2.813	412	3.964	350	2.698	2106	2559	5424	2833	1495	686	8822	12815	10218	6213	2720	13156	7313	4883	4935	9909	4382	2265	6623	2805	4334	1978	10412	3574	12835	10807	2855	16950	23267	15244	13352	11223	2579	1037	2252	3067	5843	3208	1415	1033	10467	15838	8624	6601	2037	12377	6799	6540	4339	10695	4344	2326	5612	3045	5079	2487	9235	3732	13970	10742	2945	14821	21149	14215	12396	11554	2425	1038	n/a	n/a
sub-0425	684.5	1205.3	0	18211.9	1075250	1075247	0.787142	1055920	1055869.108	955.3	418.3	459.4	421.2	930.4	453641.9272	423699.1813	739.3	1366014.821	647.8	1864.1	3261.1	47554.5	13095.3	940.1	71.7	7282.3	0	3567.1	52.7	0	226850.9047	211175.261	3670.1	80	1474.7	5527.6	83846.6	6917.5	2.45805	1522014	1.1142	9.2	246.4	632.2	1803	3434.3	226791.0224	212523.9203	4178	83	50735.2	13650.3	1157.9	250.7	7332.8	0	3578.8	44.5	0	1397.3	4902.4	84191.2	6327.3	2.4495	55116	950987.1084	934085.1084	932300	163	606299.9272	614	831	2.511	804	2.807	2243	2.787	1556	1.794	329	2.288	205	3.295	3259	2.338	4817	2.519	3072	2.364	2652	2.886	892	2.389	4944	2.184	2563	2.555	2958	2.065	1702	2.132	2759	2.605	1112	2.34	675	2.429	1667	2.781	684	2.672	1533	2.65	1111	1.624	4247	2.184	1099	2.523	4217	2.528	4274	2.447	963	3.133	4736	2.403	7280	2.868	5390	2.172	3734	2.57	4543	2.529	462	2.991	536	1.996	902	2.668	607	2.541	1739	2.752	1709	1.793	441	2.268	352	2.442	3458	2.576	4930	2.522	2805	2.417	2584	2.879	999	2.369	5059	2.292	2083	2.456	3223	2.126	2014	2.416	2945	2.54	1733	2.413	714	2.283	1224	2.687	711	2.392	1304	2.504	1486	1.602	4177	2.196	1172	2.453	4300	2.556	4158	2.359	741	2.667	5380	2.342	6936	2.805	5232	2.24	3652	2.608	4510	2.658	404	3.399	509	2.11	2092	2514	6711	2919	939	941	8610	13879	8559	7518	2305	12235	7030	6633	4202	9605	2723	1998	5218	2477	4604	1638	10475	2844	11622	10768	3287	13449	23293	13185	10916	12680	1817	1150	2352	1676	5404	3207	1316	1216	10010	13810	7873	7336	2468	12669	5576	7218	5268	9272	4584	1857	3763	2222	3729	2103	10317	2981	11788	9713	2347	15274	22320	13052	11038	13062	2235	1246	n/a	n/a
sub-0440	523.5	1249.1	0	20059.2	1107130	1107133	0.807923	1095513	1095788.313	854.2	503.9	453.7	581.3	923.8	457189.9098	439145.4029	711.8	1370344.688	768.9	1703.6	4300.1	51374.6	17059.4	828.6	72.4	4089	0	4097.1	62.4	0	231509.1117	219193.2151	4088.2	67	1729.9	6573.3	80323.4	8234.8	2.58089	1526113	1.113671	10.8	30.3	1025.8	1768.8	4299.9	225680.7981	219952.1877	4151.5	53	52748.6	16775.2	934.3	14.3	3787.4	0	4073.3	55	0	1463.5	5797.5	79732.2	7011	2.53929	63123	970573.3127	961145.3127	959226	120	623585.9098	1048.4	1110	2.512	524	2.88	2389	2.854	1368	1.875	378	2.633	227	2.593	3416	2.549	4229	2.527	2922	2.364	2280	3.089	1079	2.755	4614	2.159	2242	2.475	2489	2.172	n/a	n/a	2763	2.628	1104	2.533	721	2.818	1666	2.848	530	2.601	1374	2.754	1025	1.897	4072	2.305	1253	2.578	4483	2.719	3814	2.545	793	3.405	5194	2.53	6443	3.048	5261	2.349	3673	2.748	4236	2.808	499	3.593	505	2.1	679	2.682	666	3.258	1789	2.651	1224	1.956	329	3.305	302	2.513	3148	2.632	5140	2.497	2757	2.402	2333	3.012	747	2.913	4726	2.388	2325	2.385	2607	2.171	n/a	n/a	2892	2.485	1414	2.582	802	2.482	1464	2.796	820	2.67	1630	2.567	1286	1.854	3674	2.103	1049	2.787	4348	2.817	4330	2.466	821	2.972	5041	2.309	6390	2.808	5238	2.373	3700	2.793	3462	2.791	382	3.791	381	2.121	2824	1612	7410	2731	1189	805	9668	12297	8443	7000	3188	11593	5995	5949	n/a	9491	3100	2281	5533	1803	4357	1886	10463	3492	13288	10306	2910	15562	22305	14035	11668	13187	2702	1175	1825	2260	5311	2663	1540	966	9010	14565	8216	6896	2256	12234	5926	6156	n/a	9559	3867	2306	4640	2652	4986	2245	8585	3103	13144	11174	2768	14021	20528	14293	12162	10743	2294	910	n/a	n/a
sub-0452	n/a	n/a	n/a	n/a	1176490	1176492	0.79296	1151694	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1348.1	1483671.977	769.5	1593	3785.9	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3938.9	n/a	2022.8	6047.3	n/a	6990	n/a	n/a	n/a	n/a	n/a	777.3	1452.6	3929.2	n/a	n/a	4084.2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1637.3	5592	n/a	7060	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-0472	825.9	1316.7	0	22925.2	1216670	1216669	0.786714	1204948	1204894.838	1050.7	699	614.7	442.2	1004.2	526526.819	475683.0192	1273.1	1546520.744	611	1853.2	4063.2	50069.6	15861.3	970.7	154.6	2934.1	0	4409.7	124.4	0	261774.5037	234606.2046	4813.5	87	1625.1	6953.9	85916.2	9342	2.62884	1714920	1.108889	2.1	208.1	766.1	1618.9	4144.1	264752.3154	241076.8146	4691	65	54820.4	16594.5	1197.5	82.6	3638.6	0	4146	135.7	0	1775.3	6196.3	88226.7	8400.7	2.62508	67372	1080445.838	1071887.838	1069640	152	697717.819	1260.1	989	2.636	611	2.885	2389	2.733	1612	2.093	421	2.66	228	2.531	3136	2.383	5069	2.546	2735	2.255	2412	3.169	929	2.525	4502	2.318	2629	2.687	3197	2.091	1955	2.435	2919	2.927	1479	2.788	699	2.48	1704	2.689	733	2.744	1517	2.498	1433	1.876	3952	2.371	1360	2.987	5260	2.984	3995	2.637	834	3.066	5442	2.468	7285	3.019	5466	2.398	4084	3.131	3959	2.732	398	3.116	585	2.354	909	2.485	696	2.647	2084	2.837	1526	2.212	305	3.527	229	2.588	3177	2.821	6048	2.833	3285	2.47	2502	3.055	933	2.621	4976	2.389	2554	2.703	3629	2.148	1885	2.19	3310	2.913	1639	2.675	682	2.635	1187	2.736	863	2.433	1266	2.437	1453	1.773	4136	2.291	1173	2.837	5591	2.754	3900	2.609	762	2.944	5719	2.223	7708	2.921	5806	2.328	3875	3.087	3615	2.918	492	4.073	311	2.606	2688	1883	7511	3594	1540	885	9026	15333	7835	7783	2498	12847	7950	7371	5219	11623	4466	2159	5323	2875	4733	2467	10860	4540	17408	11499	3106	16502	27166	14906	15397	12405	1926	1620	2180	2043	6869	3608	1270	963	10142	18963	9474	7806	2720	12961	8068	8566	4839	12405	4612	2179	3808	2972	3830	2375	11037	3565	16516	10782	2552	16521	27670	15622	14091	12096	2836	835	n/a	n/a
sub-0481	750.9	1140.5	0	22349.5	1291180	1291178	0.749108	1273270	1273254.289	1210	433	494.2	524.5	1095.2	553472.1517	504785.1376	774.4	1723620.86	681.1	1600.5	4366.6	55986	16169.7	1248.8	335.3	5058	0	4683.4	11.9	0	273413.164	251393.8764	4452.3	145	1686.4	7160.5	98629.1	10144.9	2.48828	1767150	1.025254	24.2	366.6	739.4	1831.8	4729.6	280058.9877	253391.2612	4546.8	119	58271.1	16359.7	1512.1	469.7	7103	0	4311	66.9	0	1765.6	6477.2	99945.8	9223.7	2.49774	70662	1145801.289	1130265.289	1128573	264	736991.1517	1417.9	1362	2.462	737	2.629	2934	2.744	2102	2.031	502	2.249	288	2.74	3228	2.31	5685	2.385	2825	2.169	2840	3.006	1370	2.594	5471	2.138	2882	2.631	3889	2.059	1860	2.31	3081	2.539	1500	2.712	776	2.834	2138	2.859	693	2.688	1733	2.461	1981	1.735	4840	2.156	1353	2.7	5897	2.628	4570	2.616	1055	2.97	7949	2.43	8431	2.975	5971	2.193	3829	2.752	3782	2.734	515	2.007	558	2.189	1237	2.474	730	2.69	2641	2.7	2082	2.084	351	3.028	328	2.124	3518	2.463	5835	2.58	3238	2.281	2512	3.101	1218	2.723	5432	2.153	2932	2.485	4245	2.029	2153	2.296	3960	2.665	1893	2.669	955	2.302	1514	2.815	969	2.497	1654	2.663	2120	1.683	4706	2.153	1384	2.687	5926	2.735	4666	2.599	949	2.664	7179	2.294	8916	2.839	6257	2.36	4005	2.666	3566	2.836	422	2.533	455	2.263	3364	2036	8819	4525	1331	1172	8440	15811	7429	8591	3806	13357	8523	8916	5192	10060	4285	2493	6940	2664	5108	3141	11387	4007	16738	12933	3678	22727	29205	14640	12136	11449	1477	1333	3091	2085	8053	4662	1761	988	9661	16764	8894	8089	3475	13014	8162	9439	5806	13577	5321	2456	4937	3307	5041	3176	11170	4070	17495	13277	2912	20133	30053	16190	12622	11155	1323	1165	n/a	n/a
sub-0499	809	2597.7	8.3	22900.5	1228050	1228051	0.752646	1197311	1196898.036	913	467.9	463.3	435.6	1080.7	515155.8723	475266.1641	1126	1631645.044	917.3	1771.6	4470.2	55056.7	14803.5	1592.9	164.2	11574.1	0	4701.1	90.6	0	256390.5277	236987.908	4634	51	1874.6	7768.5	86599.9	8447.2	2.61526	1721042	1.054789	16.7	118.3	950	1804.5	4640	258765.3446	238278.2561	4713.5	42	56097.3	13028.3	1703.5	554	10815.4	0	4264.3	97.3	0	1791.9	6747.4	86426.2	8062.6	2.62597	69758	1088431.036	1061990.036	1060620	93	694883.8723	843.2	1030	2.585	779	3.207	2579	2.953	1658	1.935	428	2.927	198	2.811	3693	2.374	4296	2.56	3050	2.235	2291	3.146	885	2.744	4969	2.021	2399	2.586	2872	2.119	1872	2.395	2978	2.65	1273	2.752	667	3.076	1939	2.906	686	3.128	1251	2.672	1522	1.707	4242	2.349	1181	2.722	5166	2.928	4132	2.554	1020	3.152	5295	2.484	7284	3.104	5348	2.399	3856	2.966	4757	2.835	505	2.934	499	2.508	1007	2.725	735	2.687	2316	2.893	1459	2.089	363	3.309	280	2.4	3371	2.58	6013	2.792	2988	2.365	2414	2.961	912	2.883	4593	2.274	2406	2.573	3340	2.106	1924	2.241	3350	2.687	1409	2.646	680	2.761	1195	2.89	690	2.854	1592	2.625	1540	1.953	4019	2.301	1070	2.6	5021	2.877	4150	2.672	723	3.159	5775	2.452	7010	3.01	5966	2.383	3495	2.966	3820	2.876	448	3.838	354	2.736	2592	2492	8361	3432	1884	848	10279	12641	8059	7377	2581	11873	6769	6767	5193	10383	3635	2358	6740	2981	4051	2477	11229	3446	16748	11347	3639	15728	25944	14624	13483	15489	2315	1384	2666	2228	7585	3420	1895	983	10175	18802	8413	7224	2817	11748	7135	7827	4965	11115	4037	2193	3954	2754	5170	2815	10907	3158	15915	11754	2639	17498	25252	15767	12336	12268	2501	1157	n/a	n/a
sub-0513	1171.1	1949.1	0	19944.9	1248560	1248555	0.73799	1211786	1211456.871	1022.4	375.1	392.6	393.9	771.2	523251.0317	499361.8396	1126.4	1691832.172	641.4	1368.3	3672.2	50318.4	12359.6	1162	334.3	12109.6	0	4305.7	0	0	265972.6896	249723.9636	3927.1	181	1351	5412.9	95305.6	8660.8	2.50361	1799513	1.063647	16.9	314	828.1	1590.2	4182.7	257278.3421	249637.876	4145.3	154	54330.4	11886.7	2271.6	373.6	16503.7	0	4149.1	85.1	0	1594.9	5842.1	95425	7824.8	2.42368	61964	1119454.871	1086672.871	1084630	335	689086.0317	2515.4	1198	2.811	768	2.828	2686	2.882	1705	1.874	461	2.521	265	2.603	3306	2.399	4826	2.622	3103	2.153	2801	2.678	816	3.518	5190	2.109	3000	2.562	3226	2.012	2352	2.538	2662	2.671	1943	2.341	836	1.998	1981	2.829	779	2.577	1238	2.694	1251	1.53	5563	2.102	1567	2.917	6211	2.682	4215	2.587	982	2.942	6781	2.701	7816	2.794	6077	2.367	4413	2.442	4260	2.713	434	2.51	589	1.812	902	2.748	842	2.481	2222	2.648	1779	1.775	335	2.306	236	2.448	3683	2.534	6041	2.565	3312	2.377	2620	2.682	929	2.677	5082	2.221	2916	2.446	2988	1.982	1700	2.146	2833	2.201	2358	2.342	937	2.173	1458	2.557	911	2.838	1466	2.5	1510	1.711	4744	2.127	1354	3.09	5857	2.61	4890	2.477	980	2.535	6307	2.374	7568	2.862	6210	2.282	3827	2.403	5665	2.418	466	2.863	497	1.597	3284	2439	8361	3227	1563	1085	9373	14561	8012	6987	2943	12746	9309	7370	7084	9535	4726	2048	6493	2649	3902	1774	12548	4800	17595	11518	3411	22012	24869	16009	12381	12606	1565	994	2495	2438	6781	3332	1027	852	10680	16660	10198	7168	2722	11705	8356	6427	4526	7572	5399	2235	4418	3577	4479	2341	10764	4423	15982	12294	2873	18963	25936	15170	10869	14886	1926	822	n/a	n/a
